label,mode,kernel_regex,W_SM_KiB,blocks_per_SM,active_SM,ITER,reuse_factor,load_repeat,store_repeat,ncu_replay_mode,ncu_cache_control,ncu_metric_profile,global_warmup_passes,l2_residency_policy,l2_address_layout,status,shared_accesses,shared_bytes,shared_read_bytes,shared_write_bytes,shared_bytes_source,shared_bank_conflicts,shared_inst,legacy_shared_read_accesses,legacy_shared_write_accesses,l1_hit_rate_pct,l1_path_hit_rate_pct,l1_aggregate_hit_rate_pct,l1_hit_rate_source,l2_hit_rate_pct,l2_path_hit_rate_pct,l2_tex_path_hit_rate_pct,l2_device_path_hit_rate_pct,l2_native_read_hit_rate_pct,l2_native_vs_derived_hit_delta_pct,l2_logical_read_hit_rate_pct,l2_fabric_hit_rate_pct,l2_fabric_model_native_hit_rate_pct,l2_native_vs_fabric_model_hit_delta_pct,l2_aggregate_hit_rate_pct,l2_hit_rate_source,l1_accesses,l1_access_unit,l1_read_accesses,l1_write_accesses,l2_accesses,l2_access_unit,l2_read_accesses,l2_write_accesses,dram_accesses,dram_access_unit,dram_read_accesses,dram_write_accesses,shared_read_accesses,shared_write_accesses,l1_bytes,l1_request_bytes,l1_hit_bytes,l1_miss_bytes,l2_bytes,l2_read_bytes,expected_global_read_bytes,expected_l2_read_bytes,l2_read_to_expected_ratio,l2_read_hit_sectors,l2_read_miss_sectors,l2_device_read_sectors,l2_device_read_hit_sectors,l2_device_read_miss_sectors,l2_fabric_read_sectors,l2_fabric_read_hit_sectors,l2_fabric_read_miss_sectors,l2_fabric_metric_source,l2_fabric_metrics_present,l2_fabric_read_sector_conservation_ratio,l2_fabric_counter_coherent,l2_fabric_read_to_source_miss_ratio,l2_fabric_hit_to_source_miss_ratio,l2_fabric_read_fraction,l2_logical_read_hit_sectors,l2_logical_read_miss_sectors,l2_logical_read_miss_bytes,l2_fabric_model_coherent,l2_evict_first_read_sectors,l2_evict_normal_read_sectors,l2_evict_last_read_sectors,l2_evict_first_read_pct,l2_evict_normal_read_pct,l2_evict_last_read_pct,l2_read_miss_bytes,l2_read_sector_conservation_ratio,l2_tex_read_sector_conservation_ratio,l2_device_read_sector_conservation_ratio,l2_path_counter_coherent,dram_bytes,dram_read_sectors,dram_write_sectors,dram_read_bytes,dram_read_bytes_source,dram_write_bytes,dram_write_bytes_source,dram_read_to_expected_ratio,dram_write_to_read_ratio,gpu_duration_s,dram_read_bandwidth_GBps,dram_read_to_l2_miss_bytes_ratio,dram_read_to_l2_read_bytes_ratio,dram_read_to_l2_logical_miss_bytes_ratio,tensor_hmma_inst,tensor_fp16_f32_ops,expected_logical_mma,expected_logical_flop,tensor_hmma_per_logical_mma,tensor_ops_to_expected_flop,tensor_pipe_active_pct,local_read_bytes,local_write_bytes,spill_local_read_inst,spill_local_write_inst,spill_zero_verified,spill_evidence_source,stall_long_scoreboard_pct,stall_short_scoreboard_pct,stall_wait_pct,stall_not_selected_pct,achieved_occupancy_pct,launch_warp_capacity_pct,launch_warps_per_scheduler,registers_per_thread,shared_mem_per_block_static,shared_mem_per_block_dynamic,launch_persisting_l2_cache_size_bytes,missing_metrics,optional_missing_metrics,validation_notes,source_files,ncu_summary_source,component_candidate,acceptance,acceptance_reason,expected_shared_bytes,shared_bytes_to_expected,l2_to_l1_bytes,dram_to_l2_bytes,dram_read_to_l2_read_bytes,external_memory_technology,external_memory_coefficient_scope,external_memory_l2_service_hit_rate_pct,external_memory_source_to_expected_ratio,external_memory_read_to_expected_ratio,external_memory_write_to_read_ratio,l2_acceptance_model,l2_acceptance_hit_rate_pct,l2_read_bytes_to_expected,l1_hit_to_request_bytes,l1_request_to_l2_read_bytes,tensor_l2_bytes_per_hmma,tensor_dram_bytes_per_hmma,register_l2_bytes_per_op,register_dram_bytes_per_op,tensor_control_hmma_class,tensor_control_hmma_per_block,tensor_control_hmma_per_reg_op,tensor_hmma_ratio_group_median,tensor_hmma_ratio_group_relative_spread,tensor_control_pair_status,dram_expected_l2_hit_pct,dram_l2_hit_limit_pct,global_address_control_dram_to_expected
clocked_empty_W64_B8,clocked_empty,clocked_empty_kernel,64,8,82,1000000,1,1,1,application,none,full,4,normal,contiguous,ok,0,0,0,0,sass,0,0,0,0,18.0259,,18.0259,aggregate_fallback,20.3516,,,,19.7373,,,,,,20.3516,aggregate_fallback,0,sectors,0,,0,sectors,0,,1.86341e+06,sectors,1.86341e+06,0,0,0,0,0,0,0,7.45055e+07,0,,,,0,0,0,0,0,,,,,0,,,,,,,,,,0,0,0,,,,0,,,,,5.96291e+07,1.86341e+06,0,5.96291e+07,dram__bytes_read.sum,0,dram__bytes_write.sum,,0,56.4304,0.00105668,,,,0,0,,,,,0,0,0,0,0,1,local_memory_bytes_zero_inference,0.002715,0.00055,378.947,5.83285,16.5758,33.3333,4,16,0,0,1.17965e+06,,,,results/ncu/rtx3090_component_finalplan_ncu_factor_20260714/full_non_l2/clocked_empty_W64_B8_raw_metrics.csv,results/ncu/rtx3090_component_finalplan_ncu_factor_20260714/full_non_l2/ncu_cache_validation_summary.csv,not_selected,rejected,mode_not_final_component_candidate,,,,,,GDDR6X,,,,,,,,,,,,,,,,,,,,,,,
global_addr_only_l1_W8_B8_LR16,global_addr_only,global_scalar_addr_only_kernel,8,8,82,100000,1,16,1,application,none,full,4,normal,contiguous,ok,0,0,0,0,sass,0,0,0,0,17.4543,,17.4543,aggregate_fallback,19.2281,19.2281,19.2281,,21.4086,2.18047,,,,,21.9567,srcunit_tex_read_lookup_hit_miss,0,sectors,0,,0,sectors,0,,7.56668e+06,sectors,7.56668e+06,0,0,0,0,0,0,0,3.07897e+08,0,,,,29553,124144,0,0,0,,,,,0,,,,,,,,,,0,0,0,,,,3.97261e+06,,,,,2.42134e+08,7.56668e+06,0,2.42134e+08,dram__bytes_read.sum,0,dram__bytes_write.sum,,0,247.598,0.00097793,60.9508,,,0,0,,,,,0,0,0,0,0,1,local_memory_bytes_zero_inference,0.000394,48.8304,194.361,13.9933,16.6667,33.3333,4,34,0,0,1.17965e+06,,,l2_native_derived_hit_rate_disagree,results/ncu/rtx3090_component_finalplan_ncu_factor_20260714/full_non_l2/global_addr_only_l1_W8_B8_LR16_raw_metrics.csv,results/ncu/rtx3090_component_finalplan_ncu_factor_20260714/full_non_l2/ncu_cache_validation_summary.csv,global_address_control,accepted,pass,,,,,,GDDR6X,,,,,,,,,,,,,,,,,,,,,,,0.000225285
global_addr_only_l1_W8_B8_LR4,global_addr_only,global_scalar_addr_only_kernel,8,8,82,100000,1,4,1,application,none,full,4,normal,contiguous,ok,0,0,0,0,sass,0,0,0,0,17.0732,,17.0732,aggregate_fallback,100,100,100,100,22.8313,77.1687,,,,,38.514,srcunit_tex_device_read_lookup_hit_miss,0,sectors,0,,0,sectors,0,,1.96435e+06,sectors,1.96435e+06,0,0,0,0,0,0,0,8.01757e+07,0,,,,10030,0,0,28710,0,,,,,0,,,,,,,,,,0,0,0,,,,0,,,,,6.28593e+07,1.96435e+06,0,6.28593e+07,dram__bytes_read.sum,0,dram__bytes_write.sum,,0,64.6759,0.000971911,,,,0,0,,,,,0,0,0,0,0,1,local_memory_bytes_zero_inference,0.001523,46.5081,195.714,15.0795,16.6666,33.3333,4,34,0,0,1.17965e+06,,,l2_native_derived_hit_rate_disagree,results/ncu/rtx3090_component_finalplan_ncu_factor_20260714/full_non_l2/global_addr_only_l1_W8_B8_LR4_raw_metrics.csv,results/ncu/rtx3090_component_finalplan_ncu_factor_20260714/full_non_l2/ncu_cache_validation_summary.csv,global_address_control,accepted,pass,,,,,,GDDR6X,,,,,,,,,,,,,,,,,,,,,,,0.000233941
global_addr_only_l1_W8_B8_LR8,global_addr_only,global_scalar_addr_only_kernel,8,8,82,100000,1,8,1,application,none,full,4,normal,contiguous,ok,0,0,0,0,sass,0,0,0,0,17.2637,,17.2637,aggregate_fallback,100,100,0,100,19.5857,80.4143,,,,,27.794,srcunit_tex_device_read_lookup_hit_miss,0,sectors,0,,0,sectors,0,,4.19753e+06,sectors,4.19753e+06,0,0,0,0,0,0,0,1.68047e+08,0,,,,0,124176,0,29516,0,,,,,0,,,,,,,,,,0,0,0,,,,0,,,,,1.34321e+08,4.19753e+06,0,1.34321e+08,dram__bytes_read.sum,0,dram__bytes_write.sum,,0,124.983,0.00107471,,,,0,0,,,,,0,0,0,0,0,1,local_memory_bytes_zero_inference,0.000804,48.0296,194.828,14.3679,16.6666,33.3333,4,34,0,0,1.17965e+06,,,l2_native_derived_hit_rate_disagree,results/ncu/rtx3090_component_finalplan_ncu_factor_20260714/full_non_l2/global_addr_only_l1_W8_B8_LR8_raw_metrics.csv,results/ncu/rtx3090_component_finalplan_ncu_factor_20260714/full_non_l2/ncu_cache_validation_summary.csv,global_address_control,accepted,pass,,,,,,GDDR6X,,,,,,,,,,,,,,,,,,,,,,,0.000249948
global_l1_load_only_W8_B8_LR16,global_l1_load_only,global_ca_load_only_kernel,8,8,82,100000,1,16,1,application,none,full,4,normal,contiguous,ok,0,0,0,0,sass,0,0,0,0,99.9999,99.9999,99.9999,global_load_lookup_hit_miss,100,100,1.22797,100,21.172,78.828,,,,,21.8402,srcunit_tex_device_read_lookup_hit_miss,3.35872e+10,sectors,3.35872e+10,,20992,sectors,20992,,8.395e+06,sectors,8.395e+06,0,0,0,1.07479e+12,1.07479e+12,1.07479e+12,671744,3.39651e+08,671744,,,,1772,142531,20992,20992,0,,,,,0,,,,,,,,,,0,20992,0,0,100,0,0,1,6.87419,1,1,2.6864e+08,8.395e+06,0,2.6864e+08,dram__bytes_read.sum,0,dram__bytes_write.sum,,0,276.286,0.000972327,,399.914,,0,0,,,,,0,0,0,0,0,1,local_memory_bytes_zero_inference,1.90891,62.3875,319.299,11.4776,16.6665,33.3333,4,33,0,0,1.17965e+06,,,l2_native_derived_hit_rate_disagree,results/ncu/rtx3090_component_finalplan_ncu_factor_20260714/full_non_l2/global_l1_load_only_W8_B8_LR16_raw_metrics.csv,results/ncu/rtx3090_component_finalplan_ncu_factor_20260714/full_non_l2/ncu_cache_validation_summary.csv,global_l1_hit_path,accepted,pass,,,6.25e-07,399.914,399.914,GDDR6X,,,,,,,,,1,1.6e+06,,,,,,,,,,,,,
global_l1_load_only_W8_B8_LR4,global_l1_load_only,global_ca_load_only_kernel,8,8,82,100000,1,4,1,application,none,full,4,normal,contiguous,ok,0,0,0,0,sass,0,0,0,0,99.9998,99.9998,99.9997,global_load_lookup_hit_miss,51.5774,51.5774,52.167,51.5774,24.5421,27.0353,,,,,25.0043,srcunit_tex_device_read_lookup_hit_miss,8.3968e+09,sectors,8.3968e+09,,20992,sectors,20992,,1.96177e+06,sectors,1.96177e+06,0,0,0,2.68698e+11,2.68698e+11,2.68697e+11,671744,8.24601e+07,671744,,,,20992,19248,20992,20992,19708,,,,,0,,,,,,,,,,0,20992,0,0,100,0,630656,1.93883,1.91692,1.93883,0,6.27767e+07,1.96177e+06,0,6.27767e+07,dram__bytes_read.sum,0,dram__bytes_write.sum,,0,73.0775,0.000859043,99.5419,93.4533,,0,0,,,,,0,0,0,0,0,1,local_memory_bytes_zero_inference,1.67691,58.5156,325.228,11.1783,16.6429,33.3333,4,33,0,0,1.17965e+06,,,l2_native_derived_hit_rate_disagree;l2_read_sector_conservation_failed,results/ncu/rtx3090_component_finalplan_ncu_factor_20260714/full_non_l2/global_l1_load_only_W8_B8_LR4_raw_metrics.csv,results/ncu/rtx3090_component_finalplan_ncu_factor_20260714/full_non_l2/ncu_cache_validation_summary.csv,global_l1_hit_path,accepted,pass,,,2.5e-06,93.4533,93.4533,GDDR6X,,,,,,,,,0.999996,400001,,,,,,,,,,,,,
global_l1_load_only_W8_B8_LR8,global_l1_load_only,global_ca_load_only_kernel,8,8,82,100000,1,8,1,application,none,full,4,normal,contiguous,ok,0,0,0,0,sass,0,0,0,0,99.9999,99.9999,99.9999,global_load_lookup_hit_miss,51.0605,51.0605,100,51.0605,19.8396,31.2209,,,,,20.244,srcunit_tex_device_read_lookup_hit_miss,1.67936e+10,sectors,1.67936e+10,,20992,sectors,20992,,4.5885e+06,sectors,4.5885e+06,0,0,0,5.37395e+11,5.37395e+11,5.37395e+11,671744,1.85322e+08,671744,,,,20992,0,20992,20992,20120,,,,,0,,,,,,,,,,11808,181530,0,6.10744,93.8926,0,643840,1.95846,1,1.95846,0,1.46832e+08,4.5885e+06,0,1.46832e+08,dram__bytes_read.sum,0,dram__bytes_write.sum,,0,140.547,0.00104472,228.057,218.583,,0,0,,,,,0,0,0,0,0,1,local_memory_bytes_zero_inference,1.74391,60.9679,321.201,11.4209,16.6643,33.3333,4,33,0,0,1.17965e+06,,,l2_native_derived_hit_rate_disagree;l2_read_sector_conservation_failed,results/ncu/rtx3090_component_finalplan_ncu_factor_20260714/full_non_l2/global_l1_load_only_W8_B8_LR8_raw_metrics.csv,results/ncu/rtx3090_component_finalplan_ncu_factor_20260714/full_non_l2/ncu_cache_validation_summary.csv,global_l1_hit_path,accepted,pass,,,1.25e-06,218.583,218.583,GDDR6X,,,,,,,,,1,800000,,,,,,,,,,,,,
reg_mma_W1_B16_RF1,reg_mma,reg_mma_kernel,1,16,82,100000,1,1,1,application,none,full,4,normal,contiguous,ok,0,0,0,0,sass,0,0,0,0,86.7878,,86.7878,aggregate_fallback,23.2123,,,,17.0909,,,,,,23.2123,aggregate_fallback,0,sectors,0,,0,sectors,0,,497972,sectors,497972,0,0,0,0,0,0,0,2.12494e+07,0,,,,0,0,0,0,0,,,,,0,,,,,,,,,,23616,343780,0,6.42794,93.5721,0,0,,,,,1.59351e+07,497972,0,1.59351e+07,dram__bytes_read.sum,0,dram__bytes_write.sum,,0,15.0543,0.00105851,,,,2.624e+08,1.07479e+12,1.312e+08,1.07479e+12,2,1,49.3296,0,0,0,0,1,local_memory_bytes_zero_inference,0.060876,0.006388,116.504,28.1949,23.3128,33.3333,4,35,0,0,1.17965e+06,,,,results/ncu/rtx3090_component_finalplan_ncu_factor_20260714/full_non_l2/reg_mma_W1_B16_RF1_raw_metrics.csv,results/ncu/rtx3090_component_finalplan_ncu_factor_20260714/full_non_l2/ncu_cache_validation_summary.csv,tensor_increment_candidate,accepted,pass,,,,,,GDDR6X,,,,,,,,,,,0.0809809,0.0607283,,,,,,2,0,accepted,,,
reg_mma_W1_B16_RF16,reg_mma,reg_mma_kernel,1,16,82,100000,16,1,1,application,none,full,4,normal,contiguous,ok,0,0,0,0,sass,0,0,0,0,86.7908,,86.7908,aggregate_fallback,0,0,,0,21.7409,21.7409,,,,,22.6858,srcunit_tex_device_read_lookup_hit_miss,0,sectors,0,,0,sectors,0,,6.85006e+06,sectors,6.85006e+06,0,0,0,0,0,0,0,2.79408e+08,0,,,,0,0,0,0,251898,,,,,0,,,,,,,,,,5904,64372,0,8.40116,91.5988,0,8.06074e+06,,,,,2.19202e+08,6.85006e+06,0,2.19202e+08,dram__bytes_read.sum,0,dram__bytes_write.sum,,0,221.433,0.000989925,27.1938,,,4.1984e+09,1.71966e+13,2.0992e+09,1.71966e+13,2,1,48.3595,0,0,0,0,1,local_memory_bytes_zero_inference,0.002795,0.000389,93.3754,23.9967,22.138,33.3333,4,30,0,0,1.17965e+06,,,l2_native_derived_hit_rate_disagree,results/ncu/rtx3090_component_finalplan_ncu_factor_20260714/full_non_l2/reg_mma_W1_B16_RF16_raw_metrics.csv,results/ncu/rtx3090_component_finalplan_ncu_factor_20260714/full_non_l2/ncu_cache_validation_summary.csv,tensor_increment_candidate,accepted,pass,,,,,,GDDR6X,,,,,,,,,,,0.0665511,0.0522108,,,,,,2,0,accepted,,,
reg_mma_W1_B16_RF2,reg_mma,reg_mma_kernel,1,16,82,100000,2,1,1,application,none,full,4,normal,contiguous,ok,0,0,0,0,sass,0,0,0,0,86.789,,86.789,aggregate_fallback,19.5918,,,,16.5238,,,,,,19.5918,aggregate_fallback,0,sectors,0,,0,sectors,0,,1.09222e+06,sectors,1.09222e+06,0,0,0,0,0,0,0,4.38329e+07,0,,,,0,0,0,0,0,,,,,0,,,,,,,,,,0,0,0,,,,0,,,,,3.49512e+07,1.09222e+06,0,3.49512e+07,dram__bytes_read.sum,0,dram__bytes_write.sum,,0,28.2064,0.00123912,,,,5.248e+08,2.14958e+12,2.624e+08,2.14958e+12,2,1,47.3054,0,0,0,0,1,local_memory_bytes_zero_inference,0.011932,0.002777,103.438,29.1549,22.9035,33.3333,4,26,0,0,1.17965e+06,,,,results/ncu/rtx3090_component_finalplan_ncu_factor_20260714/full_non_l2/reg_mma_W1_B16_RF2_raw_metrics.csv,results/ncu/rtx3090_component_finalplan_ncu_factor_20260714/full_non_l2/ncu_cache_validation_summary.csv,tensor_increment_candidate,accepted,pass,,,,,,GDDR6X,,,,,,,,,,,0.0835231,0.0665991,,,,,,2,0,accepted,,,
reg_mma_W1_B16_RF4,reg_mma,reg_mma_kernel,1,16,82,100000,4,1,1,application,none,full,4,normal,contiguous,ok,0,0,0,0,sass,0,0,0,0,86.7787,,86.7787,aggregate_fallback,21.7812,,,,19.6909,,,,,,21.7812,aggregate_fallback,0,sectors,0,,0,sectors,0,,1.87118e+06,sectors,1.87118e+06,0,0,0,0,0,0,0,7.63062e+07,0,,,,0,0,0,0,0,,,,,0,,,,,,,,,,0,0,0,,,,0,,,,,5.98778e+07,1.87118e+06,0,5.98778e+07,dram__bytes_read.sum,0,dram__bytes_write.sum,,0,56.0276,0.00106872,,,,1.0496e+09,4.29916e+12,5.248e+08,4.29916e+12,2,1,47.7618,0,0,0,0,1,local_memory_bytes_zero_inference,0.00643,0.001484,97.6788,25.5759,22.2315,33.3333,4,30,0,0,1.17965e+06,,,,results/ncu/rtx3090_component_finalplan_ncu_factor_20260714/full_non_l2/reg_mma_W1_B16_RF4_raw_metrics.csv,results/ncu/rtx3090_component_finalplan_ncu_factor_20260714/full_non_l2/ncu_cache_validation_summary.csv,tensor_increment_candidate,accepted,pass,,,,,,GDDR6X,,,,,,,,,,,0.0727003,0.0570482,,,,,,2,0,accepted,,,
reg_mma_W1_B16_RF8,reg_mma,reg_mma_kernel,1,16,82,100000,8,1,1,application,none,full,4,normal,contiguous,ok,0,0,0,0,sass,0,0,0,0,86.7943,,86.7943,aggregate_fallback,100,100,,100,20.4635,79.5365,,,,,28.993,srcunit_tex_device_read_lookup_hit_miss,0,sectors,0,,0,sectors,0,,3.54844e+06,sectors,3.54844e+06,0,0,0,0,0,0,0,1.44398e+08,0,,,,0,0,0,28583,0,,,,,0,,,,,,,,,,0,0,0,,,,0,,,,,1.1355e+08,3.54844e+06,0,1.1355e+08,dram__bytes_read.sum,0,dram__bytes_write.sum,,0,111.231,0.00102085,,,,2.0992e+09,8.59832e+12,1.0496e+09,8.59832e+12,2,1,48.1247,0,0,0,0,1,local_memory_bytes_zero_inference,0.003143,0.000767,94.8536,24.2651,22.1579,33.3333,4,30,0,0,1.17965e+06,,,l2_native_derived_hit_rate_disagree,results/ncu/rtx3090_component_finalplan_ncu_factor_20260714/full_non_l2/reg_mma_W1_B16_RF8_raw_metrics.csv,results/ncu/rtx3090_component_finalplan_ncu_factor_20260714/full_non_l2/ncu_cache_validation_summary.csv,tensor_increment_candidate,accepted,pass,,,,,,GDDR6X,,,,,,,,,,,0.0687872,0.054092,,,,,,2,0,accepted,,,
reg_mma_W1_B4_RF1,reg_mma,reg_mma_kernel,1,4,82,100000,1,1,1,application,none,full,4,normal,contiguous,ok,0,0,0,0,sass,0,0,0,0,86.6678,,86.6678,aggregate_fallback,98.0527,,,,97.1161,,,,,,98.0527,aggregate_fallback,0,sectors,0,,0,sectors,0,,396,sectors,396,0,0,0,0,0,0,0,1.33926e+06,0,,,,0,0,0,0,0,,,,,0,,,,,,,,,,0,0,0,,,,0,,,,,12672,396,0,12672,dram__bytes_read.sum,0,dram__bytes_write.sum,,0,3.91322,3.23826e-06,,,,6.56e+07,2.68698e+11,3.28e+07,2.68698e+11,2,1,47.438,0,0,0,0,1,local_memory_bytes_zero_inference,0.04081,0.006072,116.032,0,8.25413,33.3333,4,35,0,0,1.17965e+06,,,,results/ncu/rtx3090_component_finalplan_ncu_factor_20260714/full_non_l2/reg_mma_W1_B4_RF1_raw_metrics.csv,results/ncu/rtx3090_component_finalplan_ncu_factor_20260714/full_non_l2/ncu_cache_validation_summary.csv,tensor_increment_candidate,accepted,pass,,,,,,GDDR6X,,,,,,,,,,,0.0204155,0.000193171,,,,,,2,0,accepted,,,
reg_mma_W1_B4_RF16,reg_mma,reg_mma_kernel,1,4,82,100000,16,1,1,application,none,full,4,normal,contiguous,ok,0,0,0,0,sass,0,0,0,0,86.6678,,86.6678,aggregate_fallback,22.0912,,,,21.2382,,,,,,22.0912,aggregate_fallback,0,sectors,0,,0,sectors,0,,1.86706e+06,sectors,1.86706e+06,0,0,0,0,0,0,0,7.63858e+07,0,,,,0,0,0,0,0,,,,,0,,,,,,,,,,0,0,0,,,,0,,,,,5.97459e+07,1.86706e+06,0,5.97459e+07,dram__bytes_read.sum,0,dram__bytes_write.sum,,0,60.9977,0.000979478,,,,1.0496e+09,4.29916e+12,5.248e+08,4.29916e+12,2,1,43.7225,0,0,0,0,1,local_memory_bytes_zero_inference,0.00114,0.000375,92.5441,0,8.22481,33.3333,4,30,0,0,1.17965e+06,,,,results/ncu/rtx3090_component_finalplan_ncu_factor_20260714/full_non_l2/reg_mma_W1_B4_RF16_raw_metrics.csv,results/ncu/rtx3090_component_finalplan_ncu_factor_20260714/full_non_l2/ncu_cache_validation_summary.csv,tensor_increment_candidate,accepted,pass,,,,,,GDDR6X,,,,,,,,,,,0.0727761,0.0569225,,,,,,2,0,accepted,,,
reg_mma_W1_B4_RF2,reg_mma,reg_mma_kernel,1,4,82,100000,2,1,1,application,none,full,4,normal,contiguous,ok,0,0,0,0,sass,0,0,0,0,86.6701,,86.6701,aggregate_fallback,103.703,,,,104.592,,,,,,103.703,aggregate_fallback,0,sectors,0,,0,sectors,0,,464,sectors,464,0,0,0,0,0,0,0,2.4783e+06,0,,,,0,0,0,0,0,,,,,0,,,,,,,,,,0,0,0,,,,0,,,,,14848,464,0,14848,dram__bytes_read.sum,0,dram__bytes_write.sum,,0,8.33366,1.78169e-06,,,,1.312e+08,5.37395e+11,6.56e+07,5.37395e+11,2,1,39.7463,0,0,0,0,1,local_memory_bytes_zero_inference,0.008052,0.002671,102.476,0,8.17482,33.3333,4,26,0,0,1.17965e+06,,,l2_hit_rate_pct_out_of_range;l2_native_read_hit_rate_pct_out_of_range,results/ncu/rtx3090_component_finalplan_ncu_factor_20260714/full_non_l2/reg_mma_W1_B4_RF2_raw_metrics.csv,results/ncu/rtx3090_component_finalplan_ncu_factor_20260714/full_non_l2/ncu_cache_validation_summary.csv,tensor_increment_candidate,accepted,pass,,,,,,GDDR6X,,,,,,,,,,,0.0188895,0.000113171,,,,,,2,0,accepted,,,
reg_mma_W1_B4_RF4,reg_mma,reg_mma_kernel,1,4,82,100000,4,1,1,application,none,full,4,normal,contiguous,ok,0,0,0,0,sass,0,0,0,0,86.6583,,86.6583,aggregate_fallback,19.2634,,,,17.4908,,,,,,19.2634,aggregate_fallback,0,sectors,0,,0,sectors,0,,618992,sectors,618992,0,0,0,0,0,0,0,2.4428e+07,0,,,,0,0,0,0,0,,,,,0,,,,,,,,,,0,0,0,,,,0,,,,,1.98077e+07,618992,0,1.98077e+07,dram__bytes_read.sum,0,dram__bytes_write.sum,,0,15.8015,0.00125354,,,,2.624e+08,1.07479e+12,1.312e+08,1.07479e+12,2,1,41.9643,0,0,0,0,1,local_memory_bytes_zero_inference,0.004364,0.001424,97.0843,0,8.20184,33.3333,4,30,0,0,1.17965e+06,,,,results/ncu/rtx3090_component_finalplan_ncu_factor_20260714/full_non_l2/reg_mma_W1_B4_RF4_raw_metrics.csv,results/ncu/rtx3090_component_finalplan_ncu_factor_20260714/full_non_l2/ncu_cache_validation_summary.csv,tensor_increment_candidate,accepted,pass,,,,,,GDDR6X,,,,,,,,,,,0.0930945,0.0754867,,,,,,2,0,accepted,,,
