phase,cycle,sequence_index,role,mode,factor_name,factor_value,target_profile,W_SM_KiB,blocks_per_SM,active_SM,reuse_factor,load_repeat,store_repeat,seconds,iters,command
warmup,0,1,control_before,reg_operand_only,reuse_factor,8,rtx3090,2048,16,82,8,1,1,5.0,0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode reg_operand_only --w-sm-kib 2048 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 5.0 --repeats 1 --reuse-factor 8 --load-repeat 1 --store-repeat 1 --output results/raw/rtx3090_strict_scope_tensor_rf8_rf16_20260708_warmup.csv --verify-smid 1
warmup,0,2,treatment,reg_mma,reuse_factor,8,rtx3090,2048,16,82,8,1,1,5.0,0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode reg_mma --w-sm-kib 2048 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 5.0 --repeats 1 --reuse-factor 8 --load-repeat 1 --store-repeat 1 --output results/raw/rtx3090_strict_scope_tensor_rf8_rf16_20260708_warmup.csv --verify-smid 1
warmup,0,3,control_after,reg_operand_only,reuse_factor,8,rtx3090,2048,16,82,8,1,1,5.0,0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode reg_operand_only --w-sm-kib 2048 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 5.0 --repeats 1 --reuse-factor 8 --load-repeat 1 --store-repeat 1 --output results/raw/rtx3090_strict_scope_tensor_rf8_rf16_20260708_warmup.csv --verify-smid 1
warmup,0,4,control_before,reg_operand_only,reuse_factor,16,rtx3090,2048,16,82,16,1,1,5.0,0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode reg_operand_only --w-sm-kib 2048 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 5.0 --repeats 1 --reuse-factor 16 --load-repeat 1 --store-repeat 1 --output results/raw/rtx3090_strict_scope_tensor_rf8_rf16_20260708_warmup.csv --verify-smid 1
warmup,0,5,treatment,reg_mma,reuse_factor,16,rtx3090,2048,16,82,16,1,1,5.0,0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode reg_mma --w-sm-kib 2048 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 5.0 --repeats 1 --reuse-factor 16 --load-repeat 1 --store-repeat 1 --output results/raw/rtx3090_strict_scope_tensor_rf8_rf16_20260708_warmup.csv --verify-smid 1
warmup,0,6,control_after,reg_operand_only,reuse_factor,16,rtx3090,2048,16,82,16,1,1,5.0,0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode reg_operand_only --w-sm-kib 2048 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 5.0 --repeats 1 --reuse-factor 16 --load-repeat 1 --store-repeat 1 --output results/raw/rtx3090_strict_scope_tensor_rf8_rf16_20260708_warmup.csv --verify-smid 1
measure,0,1,control_before,reg_operand_only,reuse_factor,8,rtx3090,2048,16,82,8,1,1,20.0,0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode reg_operand_only --w-sm-kib 2048 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 20.0 --repeats 1 --reuse-factor 8 --load-repeat 1 --store-repeat 1 --output results/raw/rtx3090_strict_scope_tensor_rf8_rf16_20260708.csv --verify-smid 1
measure,0,2,treatment,reg_mma,reuse_factor,8,rtx3090,2048,16,82,8,1,1,20.0,0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode reg_mma --w-sm-kib 2048 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 20.0 --repeats 1 --reuse-factor 8 --load-repeat 1 --store-repeat 1 --output results/raw/rtx3090_strict_scope_tensor_rf8_rf16_20260708.csv --verify-smid 1
measure,0,3,control_after,reg_operand_only,reuse_factor,8,rtx3090,2048,16,82,8,1,1,20.0,0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode reg_operand_only --w-sm-kib 2048 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 20.0 --repeats 1 --reuse-factor 8 --load-repeat 1 --store-repeat 1 --output results/raw/rtx3090_strict_scope_tensor_rf8_rf16_20260708.csv --verify-smid 1
measure,0,4,control_before,reg_operand_only,reuse_factor,16,rtx3090,2048,16,82,16,1,1,20.0,0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode reg_operand_only --w-sm-kib 2048 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 20.0 --repeats 1 --reuse-factor 16 --load-repeat 1 --store-repeat 1 --output results/raw/rtx3090_strict_scope_tensor_rf8_rf16_20260708.csv --verify-smid 1
measure,0,5,treatment,reg_mma,reuse_factor,16,rtx3090,2048,16,82,16,1,1,20.0,0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode reg_mma --w-sm-kib 2048 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 20.0 --repeats 1 --reuse-factor 16 --load-repeat 1 --store-repeat 1 --output results/raw/rtx3090_strict_scope_tensor_rf8_rf16_20260708.csv --verify-smid 1
measure,0,6,control_after,reg_operand_only,reuse_factor,16,rtx3090,2048,16,82,16,1,1,20.0,0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode reg_operand_only --w-sm-kib 2048 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 20.0 --repeats 1 --reuse-factor 16 --load-repeat 1 --store-repeat 1 --output results/raw/rtx3090_strict_scope_tensor_rf8_rf16_20260708.csv --verify-smid 1
measure,1,7,control_before,reg_operand_only,reuse_factor,16,rtx3090,2048,16,82,16,1,1,20.0,0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode reg_operand_only --w-sm-kib 2048 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 20.0 --repeats 1 --reuse-factor 16 --load-repeat 1 --store-repeat 1 --output results/raw/rtx3090_strict_scope_tensor_rf8_rf16_20260708.csv --verify-smid 1
measure,1,8,treatment,reg_mma,reuse_factor,16,rtx3090,2048,16,82,16,1,1,20.0,0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode reg_mma --w-sm-kib 2048 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 20.0 --repeats 1 --reuse-factor 16 --load-repeat 1 --store-repeat 1 --output results/raw/rtx3090_strict_scope_tensor_rf8_rf16_20260708.csv --verify-smid 1
measure,1,9,control_after,reg_operand_only,reuse_factor,16,rtx3090,2048,16,82,16,1,1,20.0,0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode reg_operand_only --w-sm-kib 2048 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 20.0 --repeats 1 --reuse-factor 16 --load-repeat 1 --store-repeat 1 --output results/raw/rtx3090_strict_scope_tensor_rf8_rf16_20260708.csv --verify-smid 1
measure,1,10,control_before,reg_operand_only,reuse_factor,8,rtx3090,2048,16,82,8,1,1,20.0,0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode reg_operand_only --w-sm-kib 2048 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 20.0 --repeats 1 --reuse-factor 8 --load-repeat 1 --store-repeat 1 --output results/raw/rtx3090_strict_scope_tensor_rf8_rf16_20260708.csv --verify-smid 1
measure,1,11,treatment,reg_mma,reuse_factor,8,rtx3090,2048,16,82,8,1,1,20.0,0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode reg_mma --w-sm-kib 2048 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 20.0 --repeats 1 --reuse-factor 8 --load-repeat 1 --store-repeat 1 --output results/raw/rtx3090_strict_scope_tensor_rf8_rf16_20260708.csv --verify-smid 1
measure,1,12,control_after,reg_operand_only,reuse_factor,8,rtx3090,2048,16,82,8,1,1,20.0,0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode reg_operand_only --w-sm-kib 2048 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 20.0 --repeats 1 --reuse-factor 8 --load-repeat 1 --store-repeat 1 --output results/raw/rtx3090_strict_scope_tensor_rf8_rf16_20260708.csv --verify-smid 1
measure,2,13,control_before,reg_operand_only,reuse_factor,8,rtx3090,2048,16,82,8,1,1,20.0,0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode reg_operand_only --w-sm-kib 2048 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 20.0 --repeats 1 --reuse-factor 8 --load-repeat 1 --store-repeat 1 --output results/raw/rtx3090_strict_scope_tensor_rf8_rf16_20260708.csv --verify-smid 1
measure,2,14,treatment,reg_mma,reuse_factor,8,rtx3090,2048,16,82,8,1,1,20.0,0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode reg_mma --w-sm-kib 2048 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 20.0 --repeats 1 --reuse-factor 8 --load-repeat 1 --store-repeat 1 --output results/raw/rtx3090_strict_scope_tensor_rf8_rf16_20260708.csv --verify-smid 1
measure,2,15,control_after,reg_operand_only,reuse_factor,8,rtx3090,2048,16,82,8,1,1,20.0,0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode reg_operand_only --w-sm-kib 2048 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 20.0 --repeats 1 --reuse-factor 8 --load-repeat 1 --store-repeat 1 --output results/raw/rtx3090_strict_scope_tensor_rf8_rf16_20260708.csv --verify-smid 1
measure,2,16,control_before,reg_operand_only,reuse_factor,16,rtx3090,2048,16,82,16,1,1,20.0,0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode reg_operand_only --w-sm-kib 2048 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 20.0 --repeats 1 --reuse-factor 16 --load-repeat 1 --store-repeat 1 --output results/raw/rtx3090_strict_scope_tensor_rf8_rf16_20260708.csv --verify-smid 1
measure,2,17,treatment,reg_mma,reuse_factor,16,rtx3090,2048,16,82,16,1,1,20.0,0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode reg_mma --w-sm-kib 2048 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 20.0 --repeats 1 --reuse-factor 16 --load-repeat 1 --store-repeat 1 --output results/raw/rtx3090_strict_scope_tensor_rf8_rf16_20260708.csv --verify-smid 1
measure,2,18,control_after,reg_operand_only,reuse_factor,16,rtx3090,2048,16,82,16,1,1,20.0,0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode reg_operand_only --w-sm-kib 2048 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 20.0 --repeats 1 --reuse-factor 16 --load-repeat 1 --store-repeat 1 --output results/raw/rtx3090_strict_scope_tensor_rf8_rf16_20260708.csv --verify-smid 1
