profile,tag,artifact_key,artifact_group,expected_path,purpose,validated_by,target_chip,target_compute_capability,expected_power_semantics,expected_active_sm,expected_sm_count,cuda_arch,build_dir,binary,final_numerator_policy
a100,20260715,command_shell,generated runnable command package,results/summary/a100_component_finalplan_20260715_commands.sh,documents the exact finalplan commands used on the target node,platform_command_package,ga100,8.0,instant,108,,80,build-a100,./build-a100/a100_fp16_energy_v2,nvml_total_energy + total_energy_mj_delta + gpu_device_total_energy_counter
a100,20260715,command_plan,generated command plan markdown,results/summary/a100_component_finalplan_20260715_command_plan.md,"records target profile, coordinates, power semantics, NCU and audit gates",platform_command_package,ga100,8.0,instant,108,,80,build-a100,./build-a100/a100_fp16_energy_v2,nvml_total_energy + total_energy_mj_delta + gpu_device_total_energy_counter
a100,20260715,preflight,node preflight report,results/summary/a100_component_finalplan_20260715_preflight.md,"proves GPU/profile, NVML, power scope, NCU availability, and binary dry-run",preflight,ga100,8.0,instant,108,,80,build-a100,./build-a100/a100_fp16_energy_v2,nvml_total_energy + total_energy_mj_delta + gpu_device_total_energy_counter
a100,20260715,raw,raw energy CSVs,results/raw/a100_component_finalplan_20260715_tensor.csv,"contains explicit total-energy rows, profile metadata, active SM, W_SM, blocks/SM",raw_energy_profile_and_power,ga100,8.0,instant,108,,80,build-a100,./build-a100/a100_fp16_energy_v2,nvml_total_energy + total_energy_mj_delta + gpu_device_total_energy_counter
a100,20260715,raw,raw energy CSVs,results/raw/a100_component_finalplan_20260715_shared.csv,"contains explicit total-energy rows, profile metadata, active SM, W_SM, blocks/SM",raw_energy_profile_and_power,ga100,8.0,instant,108,,80,build-a100,./build-a100/a100_fp16_energy_v2,nvml_total_energy + total_energy_mj_delta + gpu_device_total_energy_counter
a100,20260715,raw,raw energy CSVs,results/raw/a100_component_finalplan_20260715_l1.csv,"contains explicit total-energy rows, profile metadata, active SM, W_SM, blocks/SM",raw_energy_profile_and_power,ga100,8.0,instant,108,,80,build-a100,./build-a100/a100_fp16_energy_v2,nvml_total_energy + total_energy_mj_delta + gpu_device_total_energy_counter
a100,20260715,raw,raw energy CSVs,results/raw/a100_component_finalplan_20260715_l2.csv,"contains explicit total-energy rows, profile metadata, active SM, W_SM, blocks/SM",raw_energy_profile_and_power,ga100,8.0,instant,108,,80,build-a100,./build-a100/a100_fp16_energy_v2,nvml_total_energy + total_energy_mj_delta + gpu_device_total_energy_counter
a100,20260715,raw,raw energy CSVs,results/raw/a100_component_finalplan_20260715_dram.csv,"contains explicit total-energy rows, profile metadata, active SM, W_SM, blocks/SM",raw_energy_profile_and_power,ga100,8.0,instant,108,,80,build-a100,./build-a100/a100_fp16_energy_v2,nvml_total_energy + total_energy_mj_delta + gpu_device_total_energy_counter
a100,20260715,tensor_pair_calibration,Tensor pair calibration manifest,results/raw/a100_component_finalplan_20260715_tensor_pair_calibration.csv,proves reg_mma-calibrated ITER was applied identically to treatment and control,tensor_pair_calibration_policy,ga100,8.0,instant,108,,80,build-a100,./build-a100/a100_fp16_energy_v2,nvml_total_energy + total_energy_mj_delta + gpu_device_total_energy_counter
a100,20260715,l2_pair_calibration,L2 pair calibration manifest,results/raw/a100_component_finalplan_20260715_l2_pair_calibration.csv,proves L2 treatment and address control used identical resolved ITER,l2_pair_calibration_policy,ga100,8.0,instant,108,,80,build-a100,./build-a100/a100_fp16_energy_v2,nvml_total_energy + total_energy_mj_delta + gpu_device_total_energy_counter
a100,20260715,dram_pair_calibration,DRAM pair calibration manifest,results/raw/a100_component_finalplan_20260715_dram_pair_calibration.csv,proves DRAM treatment and address control used identical resolved ITER,dram_pair_calibration_policy,ga100,8.0,instant,108,,80,build-a100,./build-a100/a100_fp16_energy_v2,nvml_total_energy + total_energy_mj_delta + gpu_device_total_energy_counter
a100,20260715,power_api,power API audit,results/summary/a100_component_finalplan_20260715_power_api_audit.csv,proves final rows use nvml_total_energy + total_energy_mj_delta + GPU/device scope,power_api_final_candidate,ga100,8.0,instant,108,,80,build-a100,./build-a100/a100_fp16_energy_v2,nvml_total_energy + total_energy_mj_delta + gpu_device_total_energy_counter
a100,20260715,power_state,power-state stability audit,results/summary/a100_component_finalplan_20260715_power_state_audit.csv,"excludes average-power, endpoint-power, clock, and temperature outlier rows",power_state_quality,ga100,8.0,instant,108,,80,build-a100,./build-a100/a100_fp16_energy_v2,nvml_total_energy + total_energy_mj_delta + gpu_device_total_energy_counter
a100,20260715,ncu_summary,NCU counter summary,results/ncu/a100_component_finalplan_ncu_factor_20260715/ncu_cache_validation_summary.csv,"records L1/L2 hit rates, L1/L2/DRAM bytes/access counts, shared bytes, tensor inst, stalls",ncu_summary_quality,ga100,8.0,instant,108,,80,build-a100,./build-a100/a100_fp16_energy_v2,nvml_total_energy + total_energy_mj_delta + gpu_device_total_energy_counter
a100,20260715,ncu_acceptance,NCU path acceptance,results/summary/a100_component_finalplan_20260715_ncu_acceptance.csv,proves tensor/control/shared/global-L1/L2 candidates use intended paths,ncu_path_acceptance,ga100,8.0,instant,108,,80,build-a100,./build-a100/a100_fp16_energy_v2,nvml_total_energy + total_energy_mj_delta + gpu_device_total_energy_counter
a100,20260715,matched_summary,matched-control summary,results/summary/a100_component_finalplan_20260715_matched_control_summary.csv,summarizes treatment-control delta_E and pJ/FLOP or pJ/bit estimates,matched_control_summary,ga100,8.0,instant,108,,80,build-a100,./build-a100/a100_fp16_energy_v2,nvml_total_energy + total_energy_mj_delta + gpu_device_total_energy_counter
a100,20260715,matched_detail,matched-control detail,results/summary/a100_component_finalplan_20260715_matched_control_detail.csv,"preserves row-level numerator/control pairing, source files, scopes, and denominators",matched_control_detail,ga100,8.0,instant,108,,80,build-a100,./build-a100/a100_fp16_energy_v2,nvml_total_energy + total_energy_mj_delta + gpu_device_total_energy_counter
a100,20260715,reliability,component reliability audit,results/summary/a100_component_finalplan_20260715_component_reliability_audit.csv,"combines power, NCU, and matched-control evidence into accepted/reject component verdicts",component_reliability,ga100,8.0,instant,108,,80,build-a100,./build-a100/a100_fp16_energy_v2,nvml_total_energy + total_energy_mj_delta + gpu_device_total_energy_counter
a100,20260715,instability,instability audit,results/summary/a100_component_finalplan_20260715_matched_control_instability_audit.csv,"explains weak-signal, negative, or noisy matched-control rows and follow-up conditions",instability_diagnosis,ga100,8.0,instant,108,,80,build-a100,./build-a100/a100_fp16_energy_v2,nvml_total_energy + total_energy_mj_delta + gpu_device_total_energy_counter
a100,20260715,strict_summary,strict component coefficient summary,results/summary/a100_strict_scope_fresh_ncu_component_coefficients_20260715.csv,reporting table built only from accepted reliability evidence,strict_summary_policy,ga100,8.0,instant,108,,80,build-a100,./build-a100/a100_fp16_energy_v2,nvml_total_energy + total_energy_mj_delta + gpu_device_total_energy_counter
a100,20260715,strict_audit,strict component summary audit,results/summary/a100_strict_scope_fresh_ncu_component_summary_audit_20260715.csv,"verifies traceability, power matrix policy, NCU denominator, counter schema, coordinate alignment, hierarchy, and plausibility gates",strict_summary_audit_clean,ga100,8.0,instant,108,,80,build-a100,./build-a100/a100_fp16_energy_v2,nvml_total_energy + total_energy_mj_delta + gpu_device_total_energy_counter
a100,20260715,l2_path_selection,L2 NCU-first path selection,results/summary/a100_component_finalplan_20260715_l2_path_selection.csv,records the policy/layout/blocks-SM candidates and the strict path verdict before energy measurement,l2_path_selection_policy,ga100,8.0,instant,108,,80,build-a100,./build-a100/a100_fp16_energy_v2,nvml_total_energy + total_energy_mj_delta + gpu_device_total_energy_counter
