mode,W_SM_KiB,blocks_per_SM,active_SM,load_repeat,component,accepted,reason,net_E_J,elapsed_s,ncu_l1_hit_rate_pct,ncu_l2_hit_rate_pct,ncu_l1_bytes,ncu_l2_bytes,ncu_dram_bytes,expected_shared_bytes,ncu_shared_accesses,ncu_stall_long_scoreboard_pct,ncu_stall_short_scoreboard_pct,ncu_stall_wait_pct
clocked_empty,16,16,82,1,reject,false,elapsed_too_short,2.86776172085,0.041555714,,,0,0,0,0,,,,
global_l1_load_only,16,16,82,1,global_l1_path,true,accepted,13.7012305901,0.202053771,99.9891,28.7492,1.34349e+12,4408100000,3353020000,0,,10.7234,39.7414,201.83
shared_load_only,16,16,82,1,reject,false,mode_or_w_not_selected,34.1875130603,0.178877364,26.8619,54.425,0,478783750,353830000,671744000000,10921687500,0.000891,89.7858,194.186
l2_load_only,16,16,82,1,reject,false,mode_or_w_not_selected,24.8808987904,0.183489069,99.999,54.3239,1.3434875e+12,423838750,323591250,0,,16.7124,50.6185,190.272
clocked_empty,16,16,82,2,reject,false,elapsed_too_short,4.49206495273,0.056276721,,,0,0,0,0,,,,
global_l1_load_only,16,16,82,2,global_l1_path,true,accepted,62.3824786387,0.354222654,99.9988,40.1891,2.686975e+12,1210425000,1012020000,0,,13.3754,44.2146,201.369
shared_load_only,16,16,82,2,reject,false,mode_or_w_not_selected,41.1351825971,0.328471686,26.8619,54.425,0,957567500,707660000,1343488000000,21843375000,0.000891,89.7858,194.186
l2_load_only,16,16,82,2,reject,false,mode_or_w_not_selected,50.4122662973,0.340306598,99.999,54.3239,2.686975e+12,847677500,647182500,0,,16.7124,50.6185,190.272
clocked_empty,16,16,82,4,reject,false,elapsed_too_short,1.9396428129,0.06751154,,,0,0,0,0,,,,
global_l1_load_only,16,16,82,4,global_l1_path,true,accepted,129.522139801,0.685165916,99.999,55.6124,5.37395e+12,1753250000,1356845000,0,,17.4286,52.7454,210.023
shared_load_only,16,16,82,4,reject,false,mode_or_w_not_selected,137.392140301,0.625994268,26.8619,54.425,0,1915135000,1415320000,2686976000000,43686750000,0.000891,89.7858,194.186
l2_load_only,16,16,82,4,reject,false,mode_or_w_not_selected,117.245756604,0.639971686,99.999,54.3239,5.37395e+12,1695355000,1294365000,0,,16.7124,50.6185,190.272
clocked_empty,16,16,82,8,reject,false,elapsed_too_short,10.7842301036,0.106314566,,,0,0,0,0,,,,
global_l1_load_only,16,16,82,8,global_l1_path,true,accepted,275.552499571,1.302954126,99.9992,42.928,1.07479e+13,4415865000,3608115000,0,,18.5925,55.275,211.504
shared_load_only,16,16,82,8,reject,false,mode_or_w_not_selected,244.274027765,1.218023994,26.8619,54.425,0,3830270000,2830640000,5373952000000,87373500000,0.000891,89.7858,194.186
l2_load_only,16,16,82,8,reject,false,mode_or_w_not_selected,250.471268355,1.25051854,99.999,54.3239,1.07479e+13,3390710000,2588730000,0,,16.7124,50.6185,190.272
clocked_empty,16,16,82,16,reject,false,missing_ncu_join,6.51721954227,0.178623408,,,0,0,0,0,,,,
global_l1_load_only,16,16,82,16,global_l1_path,true,accepted,519.276795577,2.54685276,99.9989,46.0291,2.14958e+13,10575450000,8611200000,0,,19.2038,56.5945,212.32
shared_load_only,16,16,82,16,reject,false,mode_or_w_not_selected,481.715954349,2.399077488,26.8619,54.425,0,7660540000,5661280000,10747904000000,174747000000,0.000891,89.7858,194.186
l2_load_only,16,16,82,16,reject,false,mode_or_w_not_selected,510.552706652,2.482727179,99.999,54.3239,2.14958e+13,6781420000,5177460000,0,,16.7124,50.6185,190.272
clocked_empty,64,16,82,1,reject,false,elapsed_too_short,4.94148936126,0.040617014,21.0175,37.9636,0,136832000,111584000,0,,0.002508,0.000589,378.947
global_l1_load_only,64,16,82,1,reject,false,mode_or_w_not_selected,35.5058613872,0.239005381,88.1275,99.7473,1.3434875e+12,160082500000,511918750,0,,69.2961,52.363,208.09
shared_load_only,64,16,82,1,shared_l1_path,true,accepted_expected_byte_denominator,20.6804171539,0.180537265,26.8184,50.4958,0,833995000,689695000,671744000000,10897900000,0.001895,88.7969,180.406
l2_load_only,64,16,82,1,l2_hit_path,true,accepted,50.4672108661,0.223974782,87.5108,99.3572,1.34349e+12,169409000000,1536235000,0,,62.1666,43.157,240.72
clocked_empty,64,16,82,2,reject,false,elapsed_too_short,3.48895120884,0.060160122,21.17,40.0279,0,145867000,113700500,0,,0.001702,0.000408,337.037
global_l1_load_only,64,16,82,2,reject,false,mode_or_w_not_selected,79.3114578271,0.420073256,88.1275,99.7473,2.686975e+12,320165000000,1023837500,0,,69.2961,52.363,208.09
shared_load_only,64,16,82,2,shared_l1_path,true,accepted_expected_byte_denominator,39.316638284,0.330472028,27.2387,43.3933,0,1405950000,1144530000,1343488000000,21835800000,0.001059,98.7711,176.027
l2_load_only,64,16,82,2,l2_hit_path,true,accepted,66.9609036286,0.423259067,87.719,99.6563,2.686975e+12,331337500000,1254020000,0,,68.2438,47.6743,221.057
clocked_empty,64,16,82,4,reject,false,elapsed_too_short,7.35527252941,0.067890128,21.2271,73.2344,0,132485500,93513500,0,,0.001328,0.000312,245.714
global_l1_load_only,64,16,82,4,reject,false,mode_or_w_not_selected,146.432665285,0.828688889,88.1275,99.7473,5.37395e+12,640330000000,2047675000,0,,69.2961,52.363,208.09
shared_load_only,64,16,82,4,shared_l1_path,true,accepted_expected_byte_denominator,106.985134612,0.632992596,27.169,49.5815,0,2461965000,1909370000,2686976000000,43688400000,0.000738,89.7834,194.146
l2_load_only,64,16,82,4,l2_hit_path,true,accepted,149.662961805,0.794932658,88.3843,99.8014,5.37395e+12,626300000000,1841630000,0,,70.6588,50.4984,188.868
clocked_empty,64,16,82,8,reject,false,elapsed_too_short,0.0504332136366,0.108474137,21.2652,71.8104,0,315727500,237104000,0,,0.00168,0.000197,205.556
global_l1_load_only,64,16,82,8,reject,false,mode_or_w_not_selected,317.353926532,1.638264256,88.1275,99.7473,1.07479e+13,1.28066e+12,4095350000,0,,69.2961,52.363,208.09
shared_load_only,64,16,82,8,shared_l1_path,true,accepted_expected_byte_denominator,253.21666294,1.251322606,27.5871,80.5235,0,9743450000,7479700000,5373952000000,87484000000,0.000434,93.4117,193.888
l2_load_only,64,16,82,8,l2_hit_path,true,accepted,287.06026158,1.588385585,88.5377,99.8115,1.07479e+13,1.23685e+12,4405220000,0,,71.7493,51.9384,183.122
clocked_empty,64,16,82,16,reject,false,mode_or_w_not_selected,26.1388980956,0.182092379,21.7226,50.8593,0,854130000,637940000,0,,0.000507,0.000114,175
global_l1_load_only,64,16,82,16,reject,false,mode_or_w_not_selected,589.872210312,3.225908244,88.1275,99.7473,2.14958e+13,2.56132e+12,8190700000,0,,69.2961,52.363,208.09
shared_load_only,64,16,82,16,shared_l1_path,true,accepted_expected_byte_denominator,495.52412602,2.455442334,27.5697,31.5735,0,25098450000,19077600000,10747904000000,175049000000,0.000137,95.2839,193.757
l2_load_only,64,16,82,16,l2_hit_path,true,accepted,562.83818427,3.143218847,88.5489,99.6526,2.14958e+13,2.473625e+12,10940700000,0,,72.8972,52.7626,180.168
clocked_empty,8192,16,82,1,reject,false,elapsed_too_short,-5.34756506395,0.03773581,,,0,0,0,0,,,,
dram_load_only,8192,16,82,1,dram_streaming_path,true,accepted,182.973916681,0.78219143,49.9995,0.232827,1.34349e+12,678875000000,677450000000,0,,1153.79,57.1303,186.467
clocked_empty,8192,16,82,2,reject,false,elapsed_too_short,5.7096042875,0.058040354,,,0,0,0,0,,,,
dram_load_only,8192,16,82,2,dram_streaming_path,true,accepted,356.046721174,1.563860668,49.9996,0.380448,2.686975e+12,1.352955e+12,1.35127e+12,0,,1286.75,61.9263,160.012
clocked_empty,8192,16,82,4,reject,false,elapsed_too_short,-9.88105647967,0.069114715,,,0,0,0,0,,,,
dram_load_only,8192,16,82,4,dram_streaming_path,true,accepted,731.193831157,3.125142789,49.9997,0.173057,5.37395e+12,2.696505e+12,2.69486e+12,0,,1355.29,65.1031,152.772
clocked_empty,8192,16,82,8,reject,false,elapsed_too_short,5.08123040054,0.108482106,,,0,0,0,0,,,,
dram_load_only,8192,16,82,8,dram_streaming_path,true,accepted,1493.6964963,6.249456185,49.9997,0.198869,1.07479e+13,5.39885e+12,5.39535e+12,0,,1407.74,66.8501,148.819
clocked_empty,8192,16,82,16,reject,false,missing_ncu_join,26.3922505556,0.183761622,,,0,0,0,0,,,,
dram_load_only,8192,16,82,16,dram_streaming_path,true,accepted,2827.42614897,12.580881959,49.9997,0.162613,2.14958e+13,1.078125e+13,1.07748e+13,0,,1422.35,67.781,146.816
global_l1_load_only,16,16,82,1,global_l1_path,true,accepted,24.2411257109,0.197891828,99.9891,28.7492,1.34349e+12,4408100000,3353020000,0,,10.7234,39.7414,201.83
shared_load_only,16,16,82,1,reject,false,mode_or_w_not_selected,28.6525237039,0.183688529,26.8619,54.425,0,478783750,353830000,671744000000,10921687500,0.000891,89.7858,194.186
l2_load_only,16,16,82,1,reject,false,mode_or_w_not_selected,20.5624606189,0.190426332,99.999,54.3239,1.3434875e+12,423838750,323591250,0,,16.7124,50.6185,190.272
clocked_empty,16,16,82,2,reject,false,elapsed_too_short,6.75975678607,0.059011211,,,0,0,0,0,,,,
global_l1_load_only,16,16,82,2,global_l1_path,true,accepted,64.6992552676,0.365186237,99.9988,40.1891,2.686975e+12,1210425000,1012020000,0,,13.3754,44.2146,201.369
shared_load_only,16,16,82,2,reject,false,mode_or_w_not_selected,42.3578956839,0.33428653,26.8619,54.425,0,957567500,707660000,1343488000000,21843375000,0.000891,89.7858,194.186
l2_load_only,16,16,82,2,reject,false,mode_or_w_not_selected,71.7641848454,0.349958439,99.999,54.3239,2.686975e+12,847677500,647182500,0,,16.7124,50.6185,190.272
clocked_empty,16,16,82,4,reject,false,elapsed_too_short,3.04018256584,0.070770328,,,0,0,0,0,,,,
global_l1_load_only,16,16,82,4,global_l1_path,true,accepted,135.547269337,0.778432027,99.999,55.6124,5.37395e+12,1753250000,1356845000,0,,17.4286,52.7454,210.023
shared_load_only,16,16,82,4,reject,false,mode_or_w_not_selected,130.105691763,0.651853595,26.8619,54.425,0,1915135000,1415320000,2686976000000,43686750000,0.000891,89.7858,194.186
l2_load_only,16,16,82,4,reject,false,mode_or_w_not_selected,132.222339684,0.664845508,99.999,54.3239,5.37395e+12,1695355000,1294365000,0,,16.7124,50.6185,190.272
clocked_empty,16,16,82,8,reject,false,elapsed_too_short,-3.77842635423,0.109572736,,,0,0,0,0,,,,
global_l1_load_only,16,16,82,8,global_l1_path,true,accepted,268.10768588,1.379461766,99.9992,42.928,1.07479e+13,4415865000,3608115000,0,,18.5925,55.275,211.504
shared_load_only,16,16,82,8,reject,false,mode_or_w_not_selected,271.692955686,1.33868268,26.8619,54.425,0,3830270000,2830640000,5373952000000,87373500000,0.000891,89.7858,194.186
l2_load_only,16,16,82,8,reject,false,mode_or_w_not_selected,252.111257059,1.292284121,99.999,54.3239,1.07479e+13,3390710000,2588730000,0,,16.7124,50.6185,190.272
clocked_empty,16,16,82,16,reject,false,missing_ncu_join,30.1982157156,0.183441634,,,0,0,0,0,,,,
global_l1_load_only,16,16,82,16,global_l1_path,true,accepted,529.045367202,2.713301989,99.9989,46.0291,2.14958e+13,10575450000,8611200000,0,,19.2038,56.5945,212.32
shared_load_only,16,16,82,16,reject,false,mode_or_w_not_selected,490.663027161,2.445477751,26.8619,54.425,0,7660540000,5661280000,10747904000000,174747000000,0.000891,89.7858,194.186
l2_load_only,16,16,82,16,reject,false,mode_or_w_not_selected,491.800898357,2.52902341,99.999,54.3239,2.14958e+13,6781420000,5177460000,0,,16.7124,50.6185,190.272
clocked_empty,64,16,82,1,reject,false,elapsed_too_short,-5.51896822431,0.037925305,21.0175,37.9636,0,136832000,111584000,0,,0.002508,0.000589,378.947
global_l1_load_only,64,16,82,1,reject,false,mode_or_w_not_selected,29.5964500217,0.232394034,88.1275,99.7473,1.3434875e+12,160082500000,511918750,0,,69.2961,52.363,208.09
shared_load_only,64,16,82,1,shared_l1_path,true,accepted_expected_byte_denominator,20.0860068404,0.182181927,26.8184,50.4958,0,833995000,689695000,671744000000,10897900000,0.001895,88.7969,180.406
l2_load_only,64,16,82,1,l2_hit_path,true,accepted,38.1214189592,0.226263337,87.5108,99.3572,1.34349e+12,169409000000,1536235000,0,,62.1666,43.157,240.72
clocked_empty,64,16,82,2,reject,false,elapsed_too_short,-8.24817988498,0.057190304,21.17,40.0279,0,145867000,113700500,0,,0.001702,0.000408,337.037
global_l1_load_only,64,16,82,2,reject,false,mode_or_w_not_selected,76.397369431,0.429407428,88.1275,99.7473,2.686975e+12,320165000000,1023837500,0,,69.2961,52.363,208.09
shared_load_only,64,16,82,2,shared_l1_path,true,accepted_expected_byte_denominator,53.3315973131,0.338607325,27.2387,43.3933,0,1405950000,1144530000,1343488000000,21835800000,0.001059,98.7711,176.027
l2_load_only,64,16,82,2,l2_hit_path,true,accepted,65.966736306,0.437059838,87.719,99.6563,2.686975e+12,331337500000,1254020000,0,,68.2438,47.6743,221.057
clocked_empty,64,16,82,4,reject,false,elapsed_too_short,2.01259474305,0.069080306,21.2271,73.2344,0,132485500,93513500,0,,0.001328,0.000312,245.714
global_l1_load_only,64,16,82,4,reject,false,mode_or_w_not_selected,146.99639988,0.842647526,88.1275,99.7473,5.37395e+12,640330000000,2047675000,0,,69.2961,52.363,208.09
shared_load_only,64,16,82,4,shared_l1_path,true,accepted_expected_byte_denominator,132.571113868,0.638246503,27.169,49.5815,0,2461965000,1909370000,2686976000000,43688400000,0.000738,89.7834,194.146
l2_load_only,64,16,82,4,l2_hit_path,true,accepted,150.762048421,0.807590742,88.3843,99.8014,5.37395e+12,626300000000,1841630000,0,,70.6588,50.4984,188.868
clocked_empty,64,16,82,8,reject,false,elapsed_too_short,17.3468553627,0.10756702,21.2652,71.8104,0,315727500,237104000,0,,0.00168,0.000197,205.556
global_l1_load_only,64,16,82,8,reject,false,mode_or_w_not_selected,286.452526808,1.628563326,88.1275,99.7473,1.07479e+13,1.28066e+12,4095350000,0,,69.2961,52.363,208.09
shared_load_only,64,16,82,8,shared_l1_path,true,accepted_expected_byte_denominator,229.908613037,1.236649061,27.5871,80.5235,0,9743450000,7479700000,5373952000000,87484000000,0.000434,93.4117,193.888
l2_load_only,64,16,82,8,l2_hit_path,true,accepted,281.366520248,1.582587733,88.5377,99.8115,1.07479e+13,1.23685e+12,4405220000,0,,71.7493,51.9384,183.122
clocked_empty,64,16,82,16,reject,false,mode_or_w_not_selected,26.1431056333,0.180324529,21.7226,50.8593,0,854130000,637940000,0,,0.000507,0.000114,175
global_l1_load_only,64,16,82,16,reject,false,mode_or_w_not_selected,598.942998946,3.234747934,88.1275,99.7473,2.14958e+13,2.56132e+12,8190700000,0,,69.2961,52.363,208.09
shared_load_only,64,16,82,16,shared_l1_path,true,accepted_expected_byte_denominator,493.596701285,2.450581548,27.5697,31.5735,0,25098450000,19077600000,10747904000000,175049000000,0.000137,95.2839,193.757
l2_load_only,64,16,82,16,l2_hit_path,true,accepted,563.410525732,3.158154702,88.5489,99.6526,2.14958e+13,2.473625e+12,10940700000,0,,72.8972,52.7626,180.168
clocked_empty,8192,16,82,1,reject,false,elapsed_too_short,-5.42583023483,0.037483109,,,0,0,0,0,,,,
dram_load_only,8192,16,82,1,dram_streaming_path,true,accepted,180.544035299,0.793760706,49.9995,0.232827,1.34349e+12,678875000000,677450000000,0,,1153.79,57.1303,186.467
clocked_empty,8192,16,82,2,reject,false,elapsed_too_short,-8.67043238775,0.059352313,,,0,0,0,0,,,,
dram_load_only,8192,16,82,2,dram_streaming_path,true,accepted,354.4041381,1.583951563,49.9996,0.380448,2.686975e+12,1.352955e+12,1.35127e+12,0,,1286.75,61.9263,160.012
clocked_empty,8192,16,82,4,reject,false,elapsed_too_short,1.92482273644,0.068688916,,,0,0,0,0,,,,
dram_load_only,8192,16,82,4,dram_streaming_path,true,accepted,723.91023055,3.081158498,49.9997,0.173057,5.37395e+12,2.696505e+12,2.69486e+12,0,,1355.29,65.1031,152.772
clocked_empty,8192,16,82,8,reject,false,elapsed_too_short,6.35143750139,0.108631748,,,0,0,0,0,,,,
dram_load_only,8192,16,82,8,dram_streaming_path,true,accepted,1505.42381214,6.166662547,49.9997,0.198869,1.07479e+13,5.39885e+12,5.39535e+12,0,,1407.74,66.8501,148.819
clocked_empty,8192,16,82,16,reject,false,missing_ncu_join,32.6430948212,0.183448543,,,0,0,0,0,,,,
dram_load_only,8192,16,82,16,dram_streaming_path,true,accepted,2838.07240088,12.706413826,49.9997,0.162613,2.14958e+13,1.078125e+13,1.07748e+13,0,,1422.35,67.781,146.816
clocked_empty,16,16,82,1,reject,false,elapsed_too_short,6.62995793015,0.040126423,,,0,0,0,0,,,,
shared_load_only,16,16,82,1,reject,false,mode_or_w_not_selected,8.21144578991,0.209992122,26.8619,54.425,0,478783750,353830000,671744000000,10921687500,0.000891,89.7858,194.186
l2_load_only,16,16,82,1,reject,false,mode_or_w_not_selected,25.8138582898,0.197401815,99.999,54.3239,1.3434875e+12,423838750,323591250,0,,16.7124,50.6185,190.272
clocked_empty,16,16,82,2,reject,false,elapsed_too_short,-8.84682752862,0.060491536,,,0,0,0,0,,,,
global_l1_load_only,16,16,82,2,global_l1_path,true,accepted,64.6160201009,0.376790364,99.9988,40.1891,2.686975e+12,1210425000,1012020000,0,,13.3754,44.2146,201.369
shared_load_only,16,16,82,2,reject,false,mode_or_w_not_selected,50.6014745965,0.347729463,26.8619,54.425,0,957567500,707660000,1343488000000,21843375000,0.000891,89.7858,194.186
l2_load_only,16,16,82,2,reject,false,mode_or_w_not_selected,54.0651104471,0.364032168,99.999,54.3239,2.686975e+12,847677500,647182500,0,,16.7124,50.6185,190.272
clocked_empty,16,16,82,4,reject,false,elapsed_too_short,-10.8298641274,0.072318014,,,0,0,0,0,,,,
global_l1_load_only,16,16,82,4,global_l1_path,true,accepted,129.105783964,0.720915147,99.999,55.6124,5.37395e+12,1753250000,1356845000,0,,17.4286,52.7454,210.023
shared_load_only,16,16,82,4,reject,false,mode_or_w_not_selected,134.482712944,0.669767792,26.8619,54.425,0,1915135000,1415320000,2686976000000,43686750000,0.000891,89.7858,194.186
l2_load_only,16,16,82,4,reject,false,mode_or_w_not_selected,137.292393728,0.6821301,99.999,54.3239,5.37395e+12,1695355000,1294365000,0,,16.7124,50.6185,190.272
clocked_empty,16,16,82,8,reject,false,elapsed_too_short,-4.03758150424,0.111861601,,,0,0,0,0,,,,
global_l1_load_only,16,16,82,8,global_l1_path,true,accepted,272.012032008,1.367992926,99.9992,42.928,1.07479e+13,4415865000,3608115000,0,,18.5925,55.275,211.504
shared_load_only,16,16,82,8,reject,false,mode_or_w_not_selected,247.088942541,1.279719439,26.8619,54.425,0,3830270000,2830640000,5373952000000,87373500000,0.000891,89.7858,194.186
l2_load_only,16,16,82,8,reject,false,mode_or_w_not_selected,231.840833474,1.319651965,99.999,54.3239,1.07479e+13,3390710000,2588730000,0,,16.7124,50.6185,190.272
clocked_empty,16,16,82,16,reject,false,missing_ncu_join,34.2475082801,0.187137039,,,0,0,0,0,,,,
global_l1_load_only,16,16,82,16,global_l1_path,true,accepted,507.015004224,2.691256177,99.9989,46.0291,2.14958e+13,10575450000,8611200000,0,,19.2038,56.5945,212.32
shared_load_only,16,16,82,16,reject,false,mode_or_w_not_selected,486.469697124,2.463231239,26.8619,54.425,0,7660540000,5661280000,10747904000000,174747000000,0.000891,89.7858,194.186
l2_load_only,16,16,82,16,reject,false,mode_or_w_not_selected,502.773752414,2.491746045,99.999,54.3239,2.14958e+13,6781420000,5177460000,0,,16.7124,50.6185,190.272
clocked_empty,64,16,82,1,reject,false,elapsed_too_short,-5.3383536495,0.036507475,21.0175,37.9636,0,136832000,111584000,0,,0.002508,0.000589,378.947
global_l1_load_only,64,16,82,1,reject,false,mode_or_w_not_selected,36.004293888,0.243360537,88.1275,99.7473,1.3434875e+12,160082500000,511918750,0,,69.2961,52.363,208.09
shared_load_only,64,16,82,1,shared_l1_path,true,accepted_expected_byte_denominator,23.4180176887,0.178784806,26.8184,50.4958,0,833995000,689695000,671744000000,10897900000,0.001895,88.7969,180.406
l2_load_only,64,16,82,1,l2_hit_path,true,accepted,46.7374077794,0.223978808,87.5108,99.3572,1.34349e+12,169409000000,1536235000,0,,62.1666,43.157,240.72
clocked_empty,64,16,82,2,reject,false,elapsed_too_short,5.38878668967,0.056817,21.17,40.0279,0,145867000,113700500,0,,0.001702,0.000408,337.037
global_l1_load_only,64,16,82,2,reject,false,mode_or_w_not_selected,57.0696671793,0.421178099,88.1275,99.7473,2.686975e+12,320165000000,1023837500,0,,69.2961,52.363,208.09
shared_load_only,64,16,82,2,shared_l1_path,true,accepted_expected_byte_denominator,47.9494872466,0.330060403,27.2387,43.3933,0,1405950000,1144530000,1343488000000,21835800000,0.001059,98.7711,176.027
l2_load_only,64,16,82,2,l2_hit_path,true,accepted,70.7838596859,0.418195106,87.719,99.6563,2.686975e+12,331337500000,1254020000,0,,68.2438,47.6743,221.057
clocked_empty,64,16,82,4,reject,false,elapsed_too_short,-9.62878697593,0.067390501,21.2271,73.2344,0,132485500,93513500,0,,0.001328,0.000312,245.714
global_l1_load_only,64,16,82,4,reject,false,mode_or_w_not_selected,151.462829463,0.834975311,88.1275,99.7473,5.37395e+12,640330000000,2047675000,0,,69.2961,52.363,208.09
shared_load_only,64,16,82,4,shared_l1_path,true,accepted_expected_byte_denominator,112.377314562,0.649695215,27.169,49.5815,0,2461965000,1909370000,2686976000000,43688400000,0.000738,89.7834,194.146
l2_load_only,64,16,82,4,l2_hit_path,true,accepted,148.661790836,0.798246727,88.3843,99.8014,5.37395e+12,626300000000,1841630000,0,,70.6588,50.4984,188.868
clocked_empty,64,16,82,8,reject,false,elapsed_too_short,0.358224025219,0.106322104,21.2652,71.8104,0,315727500,237104000,0,,0.00168,0.000197,205.556
global_l1_load_only,64,16,82,8,reject,false,mode_or_w_not_selected,311.361907361,1.612374199,88.1275,99.7473,1.07479e+13,1.28066e+12,4095350000,0,,69.2961,52.363,208.09
shared_load_only,64,16,82,8,shared_l1_path,true,accepted_expected_byte_denominator,243.92983578,1.266441996,27.5871,80.5235,0,9743450000,7479700000,5373952000000,87484000000,0.000434,93.4117,193.888
l2_load_only,64,16,82,8,l2_hit_path,true,accepted,287.635904471,1.563038239,88.5377,99.8115,1.07479e+13,1.23685e+12,4405220000,0,,71.7493,51.9384,183.122
clocked_empty,64,16,82,16,reject,false,mode_or_w_not_selected,30.2836128506,0.17798522,21.7226,50.8593,0,854130000,637940000,0,,0.000507,0.000114,175
global_l1_load_only,64,16,82,16,reject,false,mode_or_w_not_selected,596.962594068,3.265511598,88.1275,99.7473,2.14958e+13,2.56132e+12,8190700000,0,,69.2961,52.363,208.09
shared_load_only,64,16,82,16,shared_l1_path,true,accepted_expected_byte_denominator,485.133855173,2.450353751,27.5697,31.5735,0,25098450000,19077600000,10747904000000,175049000000,0.000137,95.2839,193.757
l2_load_only,64,16,82,16,l2_hit_path,true,accepted,557.792237725,3.127517529,88.5489,99.6526,2.14958e+13,2.473625e+12,10940700000,0,,72.8972,52.7626,180.168
clocked_empty,8192,16,82,1,reject,false,elapsed_too_short,6.8298237865,0.037776607,,,0,0,0,0,,,,
dram_load_only,8192,16,82,1,dram_streaming_path,true,accepted,156.31657909,0.77939116,49.9995,0.232827,1.34349e+12,678875000000,677450000000,0,,1153.79,57.1303,186.467
clocked_empty,8192,16,82,2,reject,false,elapsed_too_short,-8.35365629167,0.057353383,,,0,0,0,0,,,,
dram_load_only,8192,16,82,2,dram_streaming_path,true,accepted,356.308722037,1.574053996,49.9996,0.380448,2.686975e+12,1.352955e+12,1.35127e+12,0,,1286.75,61.9263,160.012
clocked_empty,8192,16,82,4,reject,false,elapsed_too_short,-10.3597435986,0.070480538,,,0,0,0,0,,,,
dram_load_only,8192,16,82,4,dram_streaming_path,true,accepted,706.33916307,3.137116582,49.9997,0.173057,5.37395e+12,2.696505e+12,2.69486e+12,0,,1355.29,65.1031,152.772
clocked_empty,8192,16,82,8,reject,false,elapsed_too_short,9.96528858613,0.108625766,,,0,0,0,0,,,,
dram_load_only,8192,16,82,8,dram_streaming_path,true,accepted,1473.31337432,6.196788144,49.9997,0.198869,1.07479e+13,5.39885e+12,5.39535e+12,0,,1407.74,66.8501,148.819
clocked_empty,8192,16,82,16,reject,false,missing_ncu_join,23.6553852596,0.183186703,,,0,0,0,0,,,,
dram_load_only,8192,16,82,16,dram_streaming_path,true,accepted,2727.14326222,12.377833033,49.9997,0.162613,2.14958e+13,1.078125e+13,1.07748e+13,0,,1422.35,67.781,146.816
clocked_empty,16,16,82,1,reject,false,elapsed_too_short,-5.70015383253,0.037709727,,,0,0,0,0,,,,
global_l1_load_only,16,16,82,1,global_l1_path,true,accepted,18.9581115899,0.20782559,99.9891,28.7492,1.34349e+12,4408100000,3353020000,0,,10.7234,39.7414,201.83
